0x080c1f0cd7c09c843ae8695279b6f853489ce2fe7d50a97ed85da38b6853f38b, 1616314001, ETH, 0.00004974501902040017, WBTC2, 0.00000142
0x05f14e39e0125290edf654f6bea9b6ae2070530f2f15a7909f5c4903c256fa7d, 1617865483, USDC, 246129.31450434861, WBTC2, 4.00252788
0xc143d44098ac2cc766bd808d9fe9c39c4d0c2be67270539f9fa5e9601078845d, 1618413668, WBTC2, 12.683976969497316, WBTC2, 11.74442312
0xfc0fbeeab45dbab2cd7b5c3b8d164cbab122629974b0272f9a046a3b8a597a17, 1621378494, ETH, 0.768265296464052, WBTC2, 0.05534862
0x5ca0b3144a8c626751769913b4c87707cedf3280ae8df1bb96e39f5fcde17ff9, 1621431460, ETH, 288.96530401278403, WBTC2, 16.55620765
0x1c5937e4784f3dd0930089f4a81eb7d5c7d385e6be621d123eca9938d4e9e0b1, 1621473899, ETH, 2.335120810990635, WBTC2, 0.1278123
0xf981ce1799ccddc93504ccf351675390b76c4409cb8137e159e1f01fb78d7055, 1621474137, WBTC2, 30.04692888587222, WBTC2, 27.82123045
0x4ff3fbdaf3caec1ea217b6f34051e73f9b618294409201dab141fc82f66dc1b1, 1621676615, ETH, 0.483287819886383, WBTC2, 0.02768497
0x659974d33b870b1464bd0cbbde6bcfa3e6a4a2b41b75bffda9ff049d566e205e, 1621770085, COMP, 6.983240944847231, WBTC2, 0.06005437
0x311b8447f1958a1d44d1df81e889b1e8a9210de89f3bbe6b265ced4ff3300811, 1622945384, WBTC2, 0.16327333075720113, WBTC2, 0.15117901
0x647b6f4d1090747fb78f2e6675f93047ed53b5d67b7e1355c2c0fd3de7c0f265, 1623393957, WBTC2, 153.79098153828502, WBTC2, 142.39905698
0x935adad9055e0517d0a851a5a2d764a03134a240812be29516a6a78128db8ebe, 1623866639, ETH, 0.24609672912228206, WBTC2, 0.01374769
0xae0dd4c5a816618b2d0685d7e38ca19eb683bba92db5a61c471ca3447fb036fd, 1624136461, ETH, 0.000029280935084791056, WBTC2, 0.00000167
0x5185936a7dd193a9e47eb210a45fafc6fa7b686cc1d9a03686793ff21929fccb, 1624173808, ETH, 0.00001729842863843133, WBTC2, 9.8e-7
0xcedcdc7a2366e32c5f8a90b82419f174ff143343a75cc8c88f3525bdccbf0ab3, 1627609720, WBTC2, 0.30391581226356407, WBTC2, 0.28140353
0x5cc20d65e0ffa6e08f7727f9ece4c76a363cd327531dd1124da863dcaa81048b, 1628509949, DAI, 1856.0058710147891, WBTC2, 0.03756738
0xb231e70df8c6974e685c0485eac4f4211e0b09425b24f564aae764228e35203d, 1629111909, USDC, 640804.5997323915, WBTC2, 12.50968167
0x29ce1a27fcc56a168d5c0c0e5569d92530de90e53ccdb50c1e9f25dcdf71a1e7, 1631294412, WBTC2, 106.05296580462316, WBTC2, 98.19719056
0x07d85d759573c70e90aa1f7a6c8e38ec92a735f24987fc8f7eccccb24ea20fec, 1631897706, USDC, 52249.48551913922, WBTC2, 1.01383673
0x2ab5b7f711abdb2d875de134de877981792fb0f53eccd5ba0f445f287cc982fd, 1635606244, USDC, 662761.4808664343, WBTC2, 10.01455619
0xa28367b5686f9407b24f390a4eadd98cbe325ceacf9506e2bd91821a43abef84, 1635629205, USDC, 334421.7482736681, WBTC2, 5.00750034
0x00a7caacc43a01f923efed43e245533d3e08892047c10d1f236e1a3ccd06b6af, 1636387163, USDC, 461715.69338608003, WBTC2, 6.43906502
0xd0565e197d57ee99b4e7adbce69542ad0b57977e3cf022dc89aa212b45ad28c6, 1637891289, USDC, 159728.0021137833, WBTC2, 2.51100317
0xea6d6333c8d5483f7e1482aae783647fc94495c707c8afb01a2fc5e5fcd4764f, 1637891448, USDC, 209311.32741622024, WBTC2, 3.29047756
0xb44ac2156bc03f987d8a8cf2d0440f2304f5e3cb0b6f4bb82ec8440f05755e76, 1640624176, USDC, 91806.46009231023, WBTC2, 1.65113209
